chrID	peakStart	peakStop	peakSize	logAveP	logMinP	aveLogP	aveChipCount	maxChipCount	aveInputCount	aveInputCountScaled	aveLog2Ratio
NC_013966.1	37400	37599	200	1.69743876814908	1.69743876814908	1.69743876814908	722	722	488	485.785431729629	0.570709654732635
NC_013967.1	301600	301799	200	2.18860961392503	2.18860961392503	2.18860961392503	257	257	320	318.547824085002	-0.308660797940053
NC_013967.1	1299000	1299199	200	1.25859867835941	1.25859867835941	1.25859867835941	907	907	689	685.873283733021	0.402648326262988
NC_013967.1	1598400	1598799	400	1.10690099767834	1.31951937249336	1.14215453266199	524	539	303.5	302.12270190562	0.794212866535713
NC_013967.1	1601400	1601599	200	1.57020532223669	1.57020532223669	1.57020532223669	520	520	291	289.679427527299	0.84185440235263
NC_013967.1	1602400	1602799	400	2.06867472737194	2.32093002625969	2.11553498958165	535	551	295.5	294.159006303494	0.862911243447017
NC_013967.1	2767000	2767799	800	2.80614410936194	6.74791143965688	4.23481735892639	519.5	558	251.25	250.10981500424	1.05031133633647
NC_013967.1	2768600	2768799	200	0.760112838161249	0.760112838161249	0.760112838161249	471	471	260	258.820107069064	0.861273776582919
NC_013968.1	2800	2999	200	1.14141138149292	1.14141138149292	1.14141138149292	936	936	723	719.718990042052	0.378612188831629
NC_013968.1	9600	9799	200	1.77897739528975	1.77897739528975	1.77897739528975	1165	1165	931	926.775075697304	0.329720794137024
NC_013968.1	13400	13799	400	1.151195302529	1.26754150927994	1.16353256031566	1414	1472	1204.5	1199.03391909495	0.238044462150228
NC_013968.1	17000	17199	200	1.39711600875661	1.39711600875661	1.39711600875661	1341	1341	1119	1113.92192234724	0.267441989362468
NC_013968.1	19400	19599	200	1.35006094508198	1.35006094508198	1.35006094508198	977	977	757	753.564696351084	0.374189862499244
NC_013968.1	22800	22999	200	0.970432649194216	0.970432649194216	0.970432649194216	1305	1305	1104	1098.98999309326	0.247664497662044
NC_013968.1	35800	35999	200	1.10324249864122	1.10324249864122	1.10324249864122	998	998	788	784.424016809319	0.347012964401025
NC_013968.1	37000	37399	400	2.12973230093231	2.36677544971838	2.17201355738256	1143	1186	893	888.94752158721	0.363445284156079
NC_013968.1	41800	41999	200	0.839776347414388	0.839776347414388	0.839776347414388	1082	1082	886	881.97928793535	0.294581740892382
NC_013968.1	42800	42999	200	0.866977881332419	0.866977881332419	0.866977881332419	1144	1144	948	943.69792885182	0.277422597964699
NC_013968.1	45200	45399	200	1.15191184848746	1.15191184848746	1.15191184848746	1138	1138	930	925.779613747038	0.297469532160437
NC_013968.1	47000	47199	200	0.828937757219099	0.828937757219099	0.828937757219099	1062	1062	866	862.070048930038	0.300592034851845
NC_013968.1	48800	48999	200	1.49782341734574	1.49782341734574	1.49782341734574	1303	1303	1074	1069.12613458529	0.285163014049355
NC_013968.1	50000	50199	200	1.1048756855132	1.1048756855132	1.1048756855132	1101	1101	891	886.956597686679	0.311563157798162
NC_013968.1	55200	55599	400	2.97881728733629	3.16843701804977	3.00785307580722	1064	1137	788.5	784.921747784451	0.439980862084371
NC_013968.1	58400	58799	400	0.982704002948308	1.03278155223456	0.98529498152025	1171	1226	972	967.589015658195	0.275819047307901
NC_013968.1	64800	65199	400	1.79919308452484	2.08213911177507	1.8557201125394	1234.5	1315	992.5	987.99598563864	0.32142692271205
NC_013968.1	70800	70999	200	1.98594752266608	1.98594752266608	1.98594752266608	1224	1224	977	972.566325409523	0.331430576438338
NC_013968.1	75000	75199	200	2.28653452380964	2.28653452380964	2.28653452380964	1367	1367	1104	1098.98999309326	0.314577831001511
NC_013968.1	77600	78199	600	1.45354890599075	1.79353595082155	1.50170167809166	1164	1247	937.333333333333	933.079668048986	0.31952892000523
NC_013968.1	81000	81599	600	0.776349287056986	1.52777115435372	1.11460326556284	1226.66666666667	1401	1029.33333333333	1024.66216747342	0.260271738562215
NC_013968.1	82000	82599	600	0.623763165235143	1.05973220798819	0.777169277846528	1358.33333333333	1441	1170	1164.69048181079	0.22295553905219
NC_013968.1	83800	83999	200	1.58218093666119	1.58218093666119	1.58218093666119	1552	1552	1552	1544.95694681226	0.00655768736110843
